song,artist
En Güzel Yerinde Evin,Büyük Ev Ablukada
Don't Sit Down 'Cause I've Moved Your Chair,Arctic Monkeys
I Want a Little Sugar in My Bowl,Nina Simone
What Happened to You Son?,Belle and Sebastian
Everything At Once,Travis
I Don't Want to Miss a Thing,Aerosmith
Uprising,Muse
Hysteria,Muse
New Shoes,Paolo Nutini
Riptide,Vance Joy
Italy,The Tallest Man on Earth
New Religion,The Tallest Man on Earth
Foothills,The Tallest Man on Earth
Every Little Heart,The Tallest Man on Earth
My Girl,The Temptations
Bruises,Lewis Capaldi
Dream Girl Evil,Florence + the Machine
Chamber Music,Paolo Nutini
You Send Me,Sam Cooke
Take You Dancing,Jason Derulo
King,Florence + the Machine
How Sweet It Is (To Be Loved By You),Marvin Gaye
Lost Stars,Keira Knightley
Lost Stars,Adam Levine
Catholic Country (feat. Feist),Kings of Convenience
Tricks of the Trade,Paolo Nutini
High Hopes,Paolo Nutini
Last Request (Alternative Mix),Paolo Nutini
I Want More (Live at Skalholt),Kaleo
Swimming (live from Hammersmith Apollo),Florence + the Machine
Eat Your Young,Hozier
Can't Get Over You,Cameron Whitcomb & Sara Beth
No One Else Like You,Adam Levine
Growing Up Beside You,Paolo Nutini
(What A) Wonderful World,Sam Cooke
Suck It and See,Arctic Monkeys
Without You (2010 Remaster),Badfinger
Oh Darlin' What Have I Done,The White Buffalo
Weak,Asaf Avidan & The Mojos
You Will Never Know,Imany
Bewitched Bothered And Bewildered (Stereo Version),Ella Fitzgerald
La Liste,Rose
Sor Bana Pişman Mıyım,Duman
Star (Rerecorded),Stealers Wheel
Snaggletooth,Vance Joy
Can't Pretend,Tom Odell
The Way I Love You,Michal Leah
(I Know) I'm Losing You,The Temptations
Please Mr. Postman,The Marvelettes
Twistin' the Night Away,Sam Cooke
Blindfold (feat. Liz Lawrence),Bombay Bicycle Club
Blinding,Florence + the Machine
Longing to Belong,Eddie Vedder
White Lies,Paolo Nutini
The Funeral,Band of Horses
Teenage Kicks,The Undertones
Many Shades of Black,Adele & The Raconteurs
Fuerteventura,Russian Red
The Story,Whim
White Nights,Oh Land
Piledriver Waltz,Arctic Monkeys
Under The Moonlight,Travis
Cosmic Love,Florence + the Machine
Fight Song,Rachel Platten
29 Palms Highway,First Aid Kit
Small Infinity,Whim
Caught,Florence + the Machine
Let Me Down Easy,Paolo Nutini
Acid Eyes,Paolo Nutini
Wild Horses II,First Aid Kit
Fallen Snow,First Aid Kit
Little Illusion Machine (Wirral Riddler),Miles Kane & The Death Ramps
Dream a Little Dream of Me,Ella Fitzgerald & Louis Armstrong
You And I,Ingrid Michaelson
I'm Shakin',Jack White
Gold on the Ceiling,The Black Keys
Take Another Little Piece of My Heart,Dusty Springfield
Stolen Dance,Milky Chance
olanla olunmaz,Büyük Ev Ablukada
Flowers In December,Mazzy Star
Riot Van,Arctic Monkeys
Still Take You Home,Arctic Monkeys
You Probably Couldn't See for the Lights but You Were Staring Straight at Me,Arctic Monkeys
Dancing Shoes,Arctic Monkeys
Fake Tales of San Francisco,Arctic Monkeys
Life,Whim
Bad Decisions,The Strokes
The Bad Thing,Arctic Monkeys
Barbaric,Blur
Fisher Island Sound,Beirut
Why Don't You Do Right?,Peggy Lee
Southern Man,Merry Clayton
Miracle Aligner,The Last Shadow Puppets
Out of My Head,First Aid Kit
King Street,Eleni Drake
Seattle Party,Chastity Belt
One Of These Days,Bedouine
Drumming Song,Florence + the Machine
Don't Let Me Down,Milky Chance & Jack Johnson
Mercy,Shawn Mendes
Broken Bones,Kaleo
3 Miles High,Travis
What Kind of Man,Florence + the Machine
Give Me One Reason,Tracy Chapman
Bus,Travis
Raze the Bar,Travis
No Ceiling,Eddie Vedder
When the Sun Goes Down,Arctic Monkeys
Ship to Wreck,Florence + the Machine
Long Gone John,Gordon Webster
Payne's Bay,Beirut
Easy on Me,Adele
Eyes Wide Open,Travis
Beauty Is Only Skin Deep (Mono SIngle),The Temptations
Shivers,Ed Sheeran
Fever,Kings of Convenience
More Than You Know,Eddie Vedder
Upside Down,Paloma Faith
Big White Cloud,John Cale
Home,Travis
ALIVE,Travis
Gaslight,Travis
Live It All Again,Travis
Lose It,Paolo Nutini
Petrified In Love,Paolo Nutini
Cherry Blossom,Paolo Nutini
Iron Sky,Paolo Nutini
Teddy Picker,Arctic Monkeys
Like A Fool,Keira Knightley
A Higher Place,Adam Levine
A Step You Can’t Take Back,Keira Knightley
Love Is a Laserquest,Arctic Monkeys
Reckless Serenade,Arctic Monkeys
All My Own Stunts,Arctic Monkeys
Library Pictures,Arctic Monkeys
The Hellcat Spangled Shalalala,Arctic Monkeys
Brick by Brick,Arctic Monkeys
Black Treacle,Arctic Monkeys
She's Thunderstorms,Arctic Monkeys
Children Of The Stars,Paolo Nutini
Smokey Joe's Cafe (Bonus Track),Paolo Nutini
Vagabond,Beirut
Gibraltar,Beirut
I Want to Hold Your Hand,T.V. Carpio
All My Loving,Jim Sturgess
Hold Me Tight,Evan Rachel Wood
Girl,Jim Sturgess
It's Your Thing,The Isley Brothers
Seaside,The Kooks
Queen of Peace,Florence + the Machine
Beautiful Ones,Suede
Would That I,Hozier
Linger,The Cranberries
Emmylou,First Aid Kit
Fire and The Flood,Vance Joy
Hurricane Drunk,Florence + the Machine
My Boy Builds Coffins,Florence + the Machine
Between Two Lungs,Florence + the Machine
Girl with One Eye,Florence + the Machine
Kiss With a Fist,Florence + the Machine
Howl,Florence + the Machine
Rabbit Heart (Raise It Up),Florence + the Machine
What Did She Do ?,Reverent Juke
Someday,The Strokes
I Lied,Lord Huron & Allison Ponthier
Love,Rosey
Make Up Your Mind (Bonus Track),Florence + the Machine
Out In Space,Travis
One Night,Travis
My Eyes,Travis
Battleships,Travis
Big Chair,Travis
Selfish Jean,Travis
Save Yourself,Kaleo
Run to the Hills,Hellsongs
Toothpaste Kisses (Bonus Track),The Maccabees
Hallucinogenics,Matt Maeson
IDK You Yet (Cover),Bertie Newman
Beating Around the Bush,Whim
Free Fallin' (Live),John Mayer
More Than This,Roxy Music
Rainbows (Live from Kentish Town Forum) [Bonus Track],Paolo Nutini
New Shoes (Live from Kentish Town Forum) [Bonus Track],Paolo Nutini
Jenny Don't Be Hasty (Live from Kentish Town Forum) [Bonus Track],Paolo Nutini
Rewind (Live from Kentish Town Forum) [Bonus Track],Paolo Nutini
Last Request (Live from Kentish Town Forum) [Bonus Track],Paolo Nutini
Alloway Grove,Paolo Nutini
Autumn,Paolo Nutini
Loving You,Paolo Nutini
Million Faces,Paolo Nutini
Rewind,Paolo Nutini
I'm Not Calling You a Liar,Florence + the Machine
Little Black Submarines (2021 Remaster),The Black Keys
Lonely Cowboy (Radio Edit),Kaleo
Hard to Explain,The Strokes
The River,Travis
Machu Picchu,The Strokes
Alone Together,The Strokes
Barely Legal,The Strokes
Viva la Vida,Coldplay
Ether & Wood,Alela Diane
Dead and Gone,The Black Keys
Come a Little Closer,Cage the Elephant
Keşke,Yalın
A Candle's Fire,Beirut
So Many Plans,Beirut
Bring It on Home to Me,Sam Cooke
The View from the Afternoon,Arctic Monkeys
Starlight,Muse
Got to Get You Off My Mind (Rerecorded),Solomon Burke
If You Need Me (Rerecorded),Solomon Burke
Then He Kissed Me,The Crystals
Red,Taylor Swift
Perhaps Vampires Is a Bit Strong But…,Arctic Monkeys
Lights Out Words Gone,Bombay Bicycle Club
Girl From the North Country,Bob Dylan
Resistance,Muse
Name,The Goo Goo Dolls
Elephant Gun,Beirut
Somewhere Only We Know,Keane
Wildflower And Barley,Hozier & Allison Russell
Hot Blood,Kaleo
Swings and Waterslides,Viola Beach
Hunger,Florence + the Machine
Climb Down from Your Pedestal,Gloria Tells
Way Down We Go,Kaleo
