song,artist
Pulling On a Line,Great Lake Swimmers
New Wild Everywhere,Great Lake Swimmers
Pretty Fly (For a White Guy),The Offspring
The Happiest Days of Our Lives,Pink Floyd
Any Colour You Like,Pink Floyd
Eclipse,Pink Floyd
Hotel California,Eagles
Shake It Out (MTV Unplugged 2012),Florence + the Machine
Dog Days Are Over (MTV Unplugged 2012),Florence + the Machine
What the Water Gave Me (MTV Unplugged 2012),Florence + the Machine
Jackson (MTV Unplugged 2012),Florence + the Machine
No Light No Light (MTV Unplugged 2012),Florence + the Machine
Love,John Lennon
The Other Side of Liverpool,Ringo Starr
Octopus's Garden,Ringo Starr
There is a Light That Never Goes Out,Dum Dum Girls
Never Come Around,La Sera
Let's Forget All the Things That We Say,Julia Stone
City Kiss,Frànçois & The Atlas Mountains
First Love Never Die,Soko
We Might Be Dead by Tomorrow,Soko
Cosmic Love (MTV Unplugged 2012),Florence + the Machine
Never Let Me Go (MTV Unplugged 2012),Florence + the Machine
Breaking Down (MTV Unplugged 2012),Florence + the Machine
Come On Closer,Jem
24,Jem
They,Jem
Falling For You,Jem
Eastern glow,The O.C. Soundtrack
Paint The Silence,The O.C. Soundtrack
The Whale Song,Modest Mouse
Star Struck,Yellowcard
Avondale (acoustic),Yellowcard
Everywhere,Yellowcard
Miles Apart,Yellowcard
Empty Apartment,Yellowcard
Breathing,Yellowcard
Lights and Sounds,Yellowcard
Only One,Yellowcard
Ocean Avenue,Yellowcard
New Kid in Town,Eagles
Wild,Beach House
Lazuli,Beach House
Still,Great Lake Swimmers
The Way,Fastball
Blue Orchid,The White Stripes
Fell in Love With a Girl,The White Stripes
Venus in Furs,The Velvet Underground
Pale Blue Eyes,The Velvet Underground
Shut Your Eyes,Snow Patrol
Magdalena,Brandon Flowers
Only the Young,Brandon Flowers
Play The Part,Little Joy
Keep Me In Mind,Little Joy
Unattainable,Little Joy
Brand New Start,Little Joy
The Next Time Around,Little Joy
Take Me With You When You Go,Jack White
On and On and On,Jack White
I Guess I Should Go to Sleep,Jack White
Sleep Alone (Edit),Two Door Cinema Club
Keep It Loose Keep It Tight,Amos Lee
Time to Pretend,Paolo Nutini
Hard Sun,Eddie Vedder
Artificial Nocturne,Metric
Help I'm Alive,Metric
Youth Without Youth,Metric
Babies,Pulp
Something Changed,Pulp
Everyday Everynight,Russian Red
No Past Land,Russian Red
The Sun The Trees,Russian Red
Walls Are Tired,Russian Red
The Angry Mob,Kaiser Chiefs
Underwear,Pulp
Heat Dies Down,Kaiser Chiefs
(It's Not War) Just the End of Love,Manic Street Preachers
Tie The Knot,The Droge & Summers Blend
Two Of The Lucky Ones,The Droge & Summers Blend
F.E.E.L.I.N.G.C.A.L.L.E.D.L.O.V.E.,Pulp
Girls on Film,Duran Duran
Come Undone,Duran Duran
Rio,Duran Duran
Smelly Cat,Phoebe Buffay
Everyday I Love You Less and Less,Kaiser Chiefs
I Spy,Pulp
Pencil Skirt,Pulp
Mis-Shapes,Pulp
Cicadas And Gulls,Feist
Cameo Lover,Kimbra
Settle Down,Kimbra
Born and Raised,John Mayer
Friends Lovers or Nothing,John Mayer
The Pieces Don't Fit Anymore,James Morrison
Undiscovered,James Morrison
Slave to the Music,James Morrison
You Make It Real,James Morrison
I Won't Let You Go,James Morrison
Ochrasy,Mando Diao
All My Senses,Mando Diao
Standing on Ghosts,Two Door Cinema Club
Kids,Two Door Cinema Club
You're Not Stubborn,Two Door Cinema Club
Master of Puppets,David Garrett
Vivaldi vs. Vertigo,David Garrett
November Rain,David Garrett
Veloma,Fabrizio Paterlini
L'origine nascosta,Ludovico Einaudi
I giorni,Ludovico Einaudi
The Downeaster 'Alexa',Billy Joel
Hypocrates,Marina & the Diamonds
Hollywood,Marina & the Diamonds
Oh No!,Marina & the Diamonds
The State of Dreaming,Marina & the Diamonds
Living Dead,Marina & the Diamonds
Lies,Marina & the Diamonds
Power & Control,Marina & the Diamonds
Teen Idle,Marina & the Diamonds
I'll Be There For You,The Rembrandts
Radio Ladio,Metronomy
Something Good Can Work - The Twelves Remix,Two Door Cinema Club
Lay Back in the Arms of Someone,Smokie
Crack the Shutters,Snow Patrol
Hands Open,Snow Patrol
Oh Carol,Smokie
Needles and Pins,Smokie
Umbrella,The Baseballs
Here Without You,3 Doors Down
Between the Devil and the Deep Blue Sea,Paolo Nutini
No No No,Paolo Nutini
Ten Out of Ten,Paolo Nutini
Le temps de l'amour,Françoise Hardy
The Plains / Bitter Dancer,Fleet Foxes
I Want To Hold Your Hand,Evan Rachel Wood
Lover To Lover,Florence and The Machine
A Face to Call Home,John Mayer
Dön Bana,Cem Özkan
Up to Us,Charles Pasi
Yalan,Athena
Vurgun Yedim,Mfö
Sari Laleler,Mfö
bodrum,Mfö
Gullerin icinden,Mfö
Tam Ortasındayım,Mfö
Sende Yap,Athena
Dalga,Athena
Köpek,Athena
Skalonga,Athena
Pis,Athena
Serseri Mayın,Athena
Arsız Gönül,Athena
Kime Ne,Athena
Save Me,Jem
Cash Machine,Hard-Fi
Hostage of Love,Razorlight
Who Needs Love?,Razorlight
Jump in the Pool,Friendly Fires
That's The Way Boys Are,Best Coast
Why I Cry,Best Coast
Better Girl,Best Coast
Do You Love Me Like You Used to,Best Coast
Better Man,Pearl Jam
Halo (Beyonce Cover) - Live Lounge,Florence + the Machine
Paper Massacre,Florence + the Machine
Postcards From Italy(Beirut Cover),Florence + the Machine
Oh! Darling (Beatles Cover),Florence + the Machine
Hospital Beds (Live at London Calling),Florence + the Machine
I Don't Wanna Know (Mario Winans Cover),Florence + the Machine
Kalb-i,Athena
Sometimes You Need,Rufus Wainwright
Our Day Will Come,Ruby & The Romantics
From the Stars,White Lies
Slow Hands,Interpol
E.S.T.,White Lies
Live in Bologna,Coldplay
Anyone Else But You,Michael Cera and Ellen Page
Ekki múkk,Sigur Rós
Varðeldur,Sigur Rós
Dauðalogn,Sigur Rós
Harm of Will,Björk
Undo,Bjork
Sun in My Mouth,Björk
Its Not Up To You,Björk
An Echo a Stain,Björk
I Will Follow You Into The Dark,Amy Millan
Old Perfume,Amy Millan
Ég anda,Sigur Rós
Rembihnútur,Sigur Rós
Valtari,Sigur Rós
Fjögur píanó,Sigur Rós
Tree Hugger,Antsy Pants
un demier verre {pour la route},Beirut
Hot n Cold,The Baseballs
If I Were a Fish,múm
Middle of Nowhere,Hot Hot Heat
If I Don't Live Today Then I Might Be Here Tomorrow,Mando Diao
Nothing Like You and I,The Perishers
Eclipse [All Yours] (Acoustic),Metric
Forks and Knives {le fete},Beirut
Knock Knock,Lenka
Talk to Me Dance With Me,Hot Hot Heat
First Love,The Maccabees
Everything Is Average Nowadays,Kaiser Chiefs
Thank You Very Much,Kaiser Chiefs
Try Your Best,Kaiser Chiefs
Born to Be a Dancer,Kaiser Chiefs
Shook Down,Yuck
The Wall,Yuck
Get Away,Yuck
Postcards From a Young Man,Manic Street Preachers
All We Make Is Entertainment,Manic Street Preachers
ertesi gün,Yüzyüzeyken Konuþuruz
Blue Eyes,Mika
Blame It on the Girls,Mika
Pick Up Off the Floor,Mika
One Foot Boy,Mika
Toy Boy,Mika
Good Gone Girl,Mika
Soft Rock Star,Metric
I Know What You Are,Oi Va Voi
Every Time,Oi Va Voi
Explanations,Selah Sue
Peace of Mind,Selah Sue
This World,Selah Sue
Just Because I Do,Selah Sue
Ready Now,The Cinematics
Keep Forgetting,The Cinematics
Asleep At The Wheel,The Cinematics
Chase,The Cinematics
New Houses,Two Door Cinema Club
Houdini,Foster the People
Color On The Walls (Don't Stop),Foster the People
Miss You,Foster the People
We Walk,The Ting Tings
Soma,The Strokes
Let Go,Frou Frou
Everything,Alanis Morissette
Let's Do It (Let's Fall In Love) (From The De-Lovely Soundtrack),Alanis Morissette
Half Life,Imogen Heap
You Make My Dreams,Hall & Oates
Young Love [ft. Laura Marling],Mystery Jets
Show Me The Light,Mystery Jets
Melt,Mystery Jets
Veiled In Grey,Mystery Jets
Behind The Bunhouse,Mystery Jets
Lady Grey,Mystery Jets
The Girl Is Gone,Mystery Jets
Serotonin,Mystery Jets
Here by Me,3 Doors Down
Have You Got It in You?,Imogen Heap
12-For You,Coldplay
Shiver (acoustic),Coldplay
For You,Coldplay
Only Superstition,Coldplay
The View,Modest Mouse
Wonderwall (Accoustic with Orchestra),Oasis
Take It Or Leave It,Jet
Put Your Money Where Your Mouth Is,Jet
The dark of the matinã©e,Franz Ferdinand
Everything with You,The Pains of Being Pure at Heart
Your Side,Young the Giant
Strings,Young the Giant
MJ,Mystery Jets
First To Know,Mystery Jets
It's Too Late To Talk,Mystery Jets
Prairie Fire That Wanders About,Sufjan Stevens
I Don't Think I'll Ever Get Over You,Colin Hay
I'm Happy Just to Dance with You,The Beatles
Little Child,The Beatles
Don't Bother Me,The Beatles
Not a Second Time,The Beatles
Devil in Her Heart,The Beatles
I Wanna Be Your Man,The Beatles
Ghosts,Fanfarlo
Laleler Beyaz (akustik),Sakin
Who I Am Hates Who I've Been,Relient K
Be My Escape,Relient K
Memories  (Single Version),Within Temptation
Meant to Live,Switchfoot
High & Dry,Radiohead
For Reasons Unknown,The Killers
Sam's Town,The Killers
The Bay,Metronomy
Trouble,Metronomy
Costume Party,Two Door Cinema Club
Shake It Out,Florence and The Machine
Heartlines,Florence and The Machine
Spectrum,Florence and The Machine
What The Water Gave Me,Florence and The Machine
Seven Devils,Florence and The Machine
Leave My Body,Florence and The Machine
Only If For A Night,Florence and The Machine
Breaking Down,Florence and The Machine
Never Let Me Go,Florence and The Machine
It's A Party,The Subways
Follow,Crystal Fighters
Steer (Triple J Acoustic Version),Missy Higgins
We All Fall in Love Sometimes,Elton John
Hallelujah,Jeff Buckley
Mary's in India,Dido
Xtatic Truth,Crystal Fighters
Celebrity,The Subways
Paradise,Tesla
Alright,The Cinematics
Home (hidden bonus track),The Cinematics
Maybe Someday,The Cinematics
Break,The Cinematics
A Strange Education,The Cinematics
Fireworks,Embrace
My Weakness Is None Of Your Business,Embrace
I Want the World,Embrace
All You Good Good People,Embrace
She Wants,Metronomy
We Broke Free,Metronomy
Corinne,Metronomy
Loving Arm,Metronomy
Autumn Leaves,James Morrison
Elveda De,TNK
Wisconsin,Bon Iver
Blindsided,Bon Iver
Team,Bon Iver
re: stacks,Bon Iver
I Know You Are But What Am I?,Mogwai
When I Goosestep,The Shins
All I Do,[unknown]
Everybody Is Someone,Lifehouse
Lover's Spit,Broken Social Scene
Strange and Beautiful (I'll Put a Spell on You),Aqualung
How to Be Dead,Snow Patrol
Light Switch,Jaime Wyatt
The Scientist,Danny Lohner/Johnette Napolita
i dont know what i can save you from,Kings of Convenience
Precious Time,The Maccabees
About Your Dress,The Maccabees
All In Your Rows,The Maccabees
Youth Knows No Pain,Lykke Li
Just Like the Rain,The Maccabees
Fire Escape,Fanfarlo
See the Sun,Dido
We Started Nothing,The Ting Tings
I'm No Angel,Dido
Let It Fall,Lykke Li
Heavy Soul,The Black Keys
Brooklyn Bound,The Black Keys
Army Of Me,Bjork
Human Behavior,Björk
All Is Full Of Love,Bjork
Like I Love You,The Subways
Black Cherry,Goldfrapp
Shubada du Ma Ma,Steve Miller Band
Comets,Fanfarlo
Drowning Men,Fanfarlo
St. Patrick's Day,John Mayer
Not About Love,Fiona Apple
Sleep to Dream,Fiona Apple
Dinosaurs,The Maccabees
Sand & Ice (Bonus Track),Fanfarlo
Girl! Girl! Girl!,The Melocotons
(I Think You´re In) Love,The Melocotons
Couple of Chances,The Melocotons
Electric Feel (Radio Edit),MGMT
4th Dimensional Transition,MGMT
Still True,Feist
Lebanese Blonde,Thievery Corporation
Vehicles & Animals,Athlete
Street Map,Athlete
In Between 2 States,Athlete
Chances,Athlete
If I Found Out,Athlete
New Project,Athlete
Maid with the Flaxen Hair,Richard Stoltzman
All This And Heaven Too,Florence and The Machine
Take Me Away,The Subways
Long Before Rock 'n' Roll,Mando Diao
Down In The Past,Mando Diao
Song for Aberdeen,Mando Diao
Maybe Just Sad,Mando Diao
Amsterdam,Mando Diao
With Or Without Love - www.Jal,Mando Diao
Morning Paper Dirt,Mando Diao
Killer Kaczynski,Mando Diao
Tony Zoulias (Lustful Life),Mando Diao
Good Morning Herr Horst,Mando Diao
High Heels,Mando Diao
You Got Nothing On Me,Mando Diao
Come On Come On,Mando Diao
Crystal,Mando Diao
Sheepdog,Mando Diao
Welcome Home Luc Robitaille,Mando Diao
Mean Street,Mando Diao
My Spirit,Lacuna Coil
Intoxicated,Lacuna Coil
Losing My Religion,Lacuna Coil
Let's Do the Things We Normally Do,Dido
Burnin' Love,Dido & Citizen Rope
It Comes and It Goes,Dido
Northern Skies,Dido
Wires,Athlete
Snowfall,God Is an Astronaut
Echoes,God Is an Astronaut
Dungeness,Athlete
Friday,The Subways
Rumour,The Subways
Popdeath,The Subways
Leave My Side,The Subways
We Don't Need Money To Have A Good Time (Demo),The Subways
This Is What I Sound Like,Athlete
Athlete - Trading Air,Athlete
Beautiful,Athlete
Shake Those Windows,Athlete
One Million,Athlete
Pieces of What,MGMT
Fortress,Hope
Never There,Cake
Albert Goes West,Nick Cave & the Bad Seeds
More News From Nowhere,Nick Cave & the Bad Seeds
Dig Lazarus Dig!!!,Nick Cave & the Bad Seeds
Such Great Heights,Iron & Wine
Blue Eyes,Cary Brothers
In the Waiting Line,Zero 7
The Only Living Boy in New York,Simon & Garfunkel
Fair,Remy Zero
Love Always Remains,MGMT
In The Library,Athlete
It's Not Your Fault,Athlete
Out Of Nowhere,Athlete
Pressed in a Book,The Shins
Weird Divide,The Shins
The Celibate Life,The Shins
One by One All Day,The Shins
Your Algebra,The Shins
Girl on the Wing,The Shins
Dalarna,Mando Diao
White Wall,Mando Diao
This Dream Is Over,Mando Diao
You Don't Understand Me,Mando Diao
The Band,Mando Diao
Unrequited Love,Lykke Li
Love Out of Lust,Lykke Li
The Wildfire (If It Was True),Mando Diao
Motown Blood,Mando Diao
Sweet Ride,Mando Diao
Paralyzed,Mando Diao
Moonshine Fever - www.Jalibury,Mando Diao
Annie's Angle,Mando Diao
One Day Goodbye Will Be Farewell,Morrissey
You Were Good in Your Time,Morrissey
Don't Leave Me Now,Pink Floyd
Everytime,The Frames
Küçük Prens,Sakin
Styrofoam Plates,Death Cab for Cutie
Blacking Out the Friction,Death Cab for Cutie
405,Death Cab for Cutie
en çirkini güzellerin,Büyük Ev Ablukada
cam parçası,Büyük Ev Ablukada
en güzel yerinde evin,Büyük Ev Ablukada
nasıl istediysen öyle işte,Büyük Ev Ablukada
Tayyar Ahmet'in Sonsuz Sayılı Günleri,Büyük Ev Ablukada
The Wildfire,Mando Diao
What Do You Think Will Happen Now?,Owen Pallett
Midnight Directives,Owen Pallett
Keep The Dog Quiet,Owen Pallett
Oh Heartland Up Yours!,Owen Pallett
Rangers,A Fine Frenzy
Borrowed Time,A Fine Frenzy
Lifesize,A Fine Frenzy
Last of Days,A Fine Frenzy
Hope for the Hopeless,A Fine Frenzy
Liar Liar,A Fine Frenzy
What Could I Say,Trespassers William
I Should Have Known Better,The Beatles
Cry Baby Cry,The Beatles
11 - Careful Where You Stand,Coldplay
Coldplay - X And Y - Hardest Part,Coldplay
Copernicus,The Mars Volta
Since We've Been Wrong,The Mars Volta
Corner of Your Heart,Ingrid Michaelson
Can't Change Me,Lydia Loveless
December Baby,Ingrid Michaelson
Breakable,Ingrid Michaelson
I'll See You in My Dreams,Ingrid Michaelson
Hold On To Your Friends,Morrissey
Queen Dot Kong,The Dø
Southern Girl,Amos Lee
Merry Happy,Kate Nash
Shit Song,Kate Nash
Nicest Thing,Kate Nash
Foundations,Kate Nash
Mariella,Kate Nash
Skeleton Song,Kate Nash
Birds,Kate Nash
Mouthwash,Kate Nash
Play,Kate Nash
A Story of Boy Meets Girl,Mychael Danna & Rob Simonsen
Me and the Major,Belle and Sebastian
Revolution,The Beatles
Young Adult Friction,The Pains of Being Pure at Heart
Come Saturday,The Pains of Being Pure at Heart
Enjoy the Silence,Lacuna Coil
Brothers & Sisters,Coldplay
Sparks (Live at Rockefeller Music Hall),Coldplay
Trouble (live),Coldplay
Help Is Round the Corner,Coldplay
Our Lady Of Peace - 4am,Our Lady Peace
Is Anybody Home?,Our Lady Peace
I'm Good I'm Gone [Black Kids Remix],Lykke Li
SOMEBODY TOLD ME-THE KILLERS,The Killers
Neon Tiger,The Killers
I Can't Stay,The Killers
This Is Your Life,The Killers
A Dustland Fairytale,The Killers
Joy Ride,The Killers
Losing Touch,The Killers
02.Ben Anlarım,Multitap
evren bozması,Büyük Ev Ablukada
bil,Büyük Ev Ablukada
No More Keeping My Feet On Th,Coldplay
Don't Panic (Live),Coldplay
Careful Where You Stand,Coldplay
Bigger Stronger,Coldplay
All She Wrote,Ross Copperman
Memory Lane,H2O
Grief and Sorrow,増田俊郎
lilililerle,Büyük Ev Ablukada
Coldplay - X And Y - Twisted Logic,Coldplay
Keepsake,State Radio
Bigger stronger - www.Jalibury.com,Coldplay
Easy To Please - www.Jalibury.com,Coldplay
uzay 2,Kilink
Friend Of Feeling Good,Olin and the Moon
Footsteps,Olin and the Moon
Dream A Little Dream Of Me,Zooey Deschanel
Why Do You Let Me Stay Here,She & Him
Mary Jane,Alanis Morissette
Head Over Feet,Alanis Morissette
Thank You,Alanis Morissette
Mercy (From The Power Cycle),Alanis Morissette
Fix You (The OC) http://wirez.wxcs.com,Coldplay
I Could Rob You,Plastiscines
You're No Good,Plastiscines
Pas Avec Toi,Plastiscines
Camera,Plastiscines
Coney Island,Plastiscines
Runnaway,Plastiscines
I Am Down,Plastiscines
Time To Leave,Plastiscines
Dust in the Wind,Dream Theater
I Melt With You,Sugarcult
I'm Alright,Sugarcult
Tell Me It's Over Now,Sugarcult
Pretty Girl,Sugarcult
Killing Me,Sugarcult
Chris Martin piano solo (Live in Bologna 2008),Coldplay
Who Let You Go,The Killers
Enterlude,The Killers
Believe Me Natalie,The Killers
Read My Mind,The Killers
Sam's Town [Abbey Road Version],The Killers
The Killers - Piece Of My Heart,The Killers
This River Is Wild,The Killers
Sweet Talk,The Killers
Jenny,The Killers
Leave the Bourbon on the Shelf,The Killers
Bones,The Killers
Andy You're a Star,The Killers
Daddy's Eyes,The Killers
Goodnight Travel Well,The Killers
No One There,Sentenced
Under the Gun,The Killers
Supergirl,Reamon
Once,Glen Hansard & Markéta Irglová
Gold,Glen Hansard
If You Want Me,Marketa Irglova&Glen Hansard
Lies,Glen Hansard & Markéta Irglová
Trying to Pull Myself Away,Glen Hansard
Say It to Me,Glen Hansard
Falling Slowly,Glen Hansard & Marketa Irglova
Leave,Glen Hansard
All the Way Down,Glen Hansard
The Hill,Marketa Irglova
When Your Minds Made Up,Glen Hansard
Fallen from the Sky,Glen Hansard
Broken Hearted Hoover Sucker Guy,Glen Hansard
Who Knew,P!nk
The Only Exception,Paramore
Not Alone,Rob Costlow
Ayıp Olmaz Mı?,Mor ve Ötesi
Solitary Ground (Piano version),Epica
Feint (piano version),Epica
Aşk İçinde,Mor ve Ötesi
Kördüğüm,Mor ve Ötesi
Gece,Mor ve Ötesi
Cry Me A River,Paolo Nutini
PS. I Love You Soundtrack - Paolo Nutini - Rewind,Paolo Nutini
Bring Me Down,Lenka
Rehab,Paolo Nutini
Live Like You're Dying,Lenka
We Will Not Grow Old,Lenka
Like A Song,Lenka
Be OK (Acoustic),Ingrid Michaelson
Falling Away With You,Muse
Femme Fatale,The Velvet Underground
Fortune Faded,Red Hot Chili Peppers
Can't Stop,Red Hot Chili Peppers
I Want to Sing,Regina Spektor
Lounge,Regina Spektor
Lulliby,Regina Spektor
Reading Time With Pickle,Regina Spektor
Buildings,Regina Spektor
Flyin',Regina Spektor
Oedipus,Regina Spektor
Sunshine,Regina Spektor
Prisoners,Regina Spektor
Ne me quitte pas,Regina Spektor
Back of a Truck,Regina Spektor
Love Affair,Regina Spektor
This Is the Life,Amy Macdonald
Low Point,Trespassers William
05  /  Black,Pearl Jam
04  /  Why Go,Pearl Jam
Move Along,The All-American Rejects
Who Will I Run To?,Kiley Dean
Wasting Love,Iron Maiden
Dice,Finley Quaye
Frequency,Feeder
Gavin Rossdale- Love remains The Same,Gavin Rossdale
Keep It Together,Guster
Sister In Love,Envelopes
Everybody's Trying to Be My Baby,The Beatles
Led Zeppelin - Led Zeppelin I - 02 - Babe I'm Gonna Leave You,Led Zeppelin
We Never Change,Coldplay
Stella Was a Diver and She Was Always Down,Interpol
You Will Always Be the Same,Ryan Adams
Running Up That Hill (live at the Edisons Amsterdam),Within Temptation
Pure Morning,Placebo
My Love,Sia
Original Fire (Acoustic),Audioslave
Like A Stone (Audioslave),Chris Cornell
Original Fire (Audioslave),Chris Cornell
Wide Awake (Audioslave),Chris Cornell
Indigo Lights,The Kooks
Too Much of Nothing,The Kooks
The Kooks - Pull Me In(1),The Kooks
California,The Kooks
I Want You Back,The Kooks
The Kooks - Something To Say,The Kooks
In Love,The Kooks
Bu Sana Son Mektubum,Suat Sayin
TURİST ÖMER,Sadrİ AliŞik
Promise feat. Chris Cornell,Slash
We'Re All Gonna Die Feat. Iggy Pop,Slash
Spirit Of The Sea,Blackmore's Night
Under A Violet Moon,Blackmore's Night
All Because Of You,Blackmore's Night
Wish You Were Here,Blackmore's Night
November Rain,Guns N' Roses
Go Go Naruto!,増田俊郎
White Christmas,Bright Eyes
These Eyes Are Berries,múm
Mid Winters Night,Blackmore's Night
Poster of a Girl,Metric
U Boat,Kasabian
Me Plus One,Kasabian
Reason Is Treason,Kasabian
Empire,Kasabian
Shoot the Runner,Kasabian
Never Miss a Beat,Kaiser Chiefs
Make Damn Sure,Taking Back Sunday
Just My Luck,McFly
Neutron Star Collision (Love Is Forever),Muse
Outside,Staind
Uninvited,Alanis Morissette
Duvet,Boa
Fumbling Towards Ecstasy,Sarah McLachlan
Maybe I'm Amazed (The OC Edit),Jem
Missing You,Jem
Winter Sun,Anonymous Shapes
Kisses And Cake,John Powell
Short Skirt Long Jacket,Cake
I Will Survive,Cake
Gamsız,Gece
Sometimes It Could Be Called Love,Anonymous Shapes
I Might Be Wrong,Radiohead
Moses-Live - www.Jalibury.com,Coldplay
I Ran Away - www.Jalibury.com,Coldplay
Snob Girl,Anonymous Shapes
Codex,Radiohead
Blanket (four tet remix),Urban Species
Congratulations,Blue October feat. Imogen Heap
Bad Body Double,Imogen Heap
Blanket,Urban Species
Daylight Robbery,Imogen Heap
Angry Angel,Imogen Heap
Hallowed Be Thy Name (Iron Maiden),Iced Earth
Rob Thomas - Lonely No More,Rob Thomas
You Haven't Told Me Anything,Keane
Playing Along,Keane
Broken Toy,Keane
The Frog Prince,Keane
One Way or Another,Blondie
Hallelujah,Imogen Heap
6Teen Theme Song,6teen :)
Be Like That,3 Doors Down
Midnight Show,The Killers
Rock 'N' Roll Star,Oasis
Pacific Theme,Broken Social Scene
The Road I'm On,3 Doors Down
Yorulmak Olmaz,Athena
For Real,Athena
Yalan  - Oldumu.Com,Athena
Mr. Rock & Roll,Amy Macdonald
Let's Start a Band,Amy Macdonald
Özetler,Büyük Ev Ablukada
Sleep,Imogen Heap
Yesterday,Beatles
Let It Be,Beatles
You've Got To Hid,The Beatles
Rock and Roll,The Beatles
Never-ending Story,Within Temptation
A Dangerous Mind,Within Temptation
The Forever Moments,Nightwish
Unspoken (Acoustic),Lacuna Coil
Like a Stone (Acoustic),Audioslave
Here She Comes Now,The Velvet Underground
Oh Boy,Miss Li
Büyük Düşler,Mor ve Ötesi
Lover I Don't Have to Love,Bright Eyes
Haligh Haligh A Lie Haligh,Bright Eyes
When the Curious Girl Realizes She Is Under Glass,Bright Eyes
You Will. You?Will. You? Will. You?Will.,Bright Eyes
Believe,Yellowcard
Don't You Forget About Me,Yellowcard
Sleep Away,Bob Acri
Nolur Nolur Nolur,Yasemin Mori
Arjantin,Yasemin Mori
Fools of Damnation,Epica
Linger - Orchestral Version,Epica
Glamorous Indie Rock and Roll,The Killers
All These Things,The Cinematics
Hype,Richie Kotzen
Plaid Plesiosaur,Richie Kotzen
Am I Wry? No,Mew
The Sound of Muzak,Porcupine Tree
Waiting Phase One,Porcupine Tree
The Boy Racer,Morrissey
Avalanche,Ryan Adams
Dead Man's Will,Iron & Wine
I'm Taking the Train Home,The Twilight Sad
O My God,The Police
Blackest Eyes,Porcupine Tree
You Could Be Happy,Snow Patrol
Luminol,Ryan Adams
Workhorse,My Brightest Diamond
The Golden Floor,Snow Patrol
Way Back Into Love,Hugh Grant & Haley Bennett
Solitary Ground,Epica
Quietus (Silent Reverie) - Single Version,Epica
Tides of Time,Epica
Run for a Fall (Accoustic),Epica
Sancta Terra,Epica
Chasing the Dragon,Epica
Presto,Epica
Sıra Bizde,TNK
Kalpsiz,TNK
Consign to Oblivion,Epica
Martyr of the Free Word,Epica
The Imperial March,Epica
The Last Crusade (A New Age Dawns Part 1),Epica
Life And Love And Why,Switchfoot
We Are One Tonight,Switchfoot
yagdirmevlamsu,Cenk ve Erdem
Skyway (Solo Acoustic) [Bonus Track],Cary Brothers
Close Your Eyes,Sugarcult
You're The One,Sugarcult
Can't Take My Eyes Off You,Cary Brothers
Over and Out,Cary Brothers
Belong,Cary Brothers
Love And Terror,The Cinematics
How Many Lights Do You See?,Bright Eyes
Sakın,Asfalt Dünya
Kırmızı Oda,Sakin
Sentetik Sezar,Sakin
Laleler Beyaz,Sakin
Sakin - Artık Gel,Sakin
Let Me Go,3 Doors Down
Repeaterbeater,Mew
Departure Acoustic (Record in Berlin 10.09.10),Mt. Desolation
Lazarus,Porcupine Tree
Bitter Pill Acoustic (Record in Berlin 10-09-10),Mt. Desolation
Winterhearted,Xandria
Save My Life,Xandria
Drown in Me,Xandria
bullet proof,Radiohead
Pale Blue Eyes (Closet Mix),The Velvet Underground
Sweet Jane (live),The Velvet Underground
I'm Waiting For The Man,Velvet Underground
Ocean,The Velvet Underground
Candy Says,The Velvet Underground
In un'altra vita,Ludovico Einaudi
Matching Weight,Trespassers William
Fragment,Trespassers William
Intro,Trespassers William
I Want To Make The World Turn Around,Steve Miller Band
Little by Little,Radiohead
Give Up the Ghost,Radiohead
Feral,Radiohead
Morning Mr Magpie,Radiohead
The Islander,Nightwish
Nightwish,Within Temptation
Once Upon a Troubadour,Nightwish
Over the Hills and Far Away,Nightwish
Phantom of the Opera,Nightwish
Angels Fall First,Nightwish
Astral Romance,Nightwish
Lifeboats,Snow Patrol
Engines,Snow Patrol
Bar,Gece
Destiny,Zero 7
15 - Feeling Good,Muse www.Rocksijen.Com
Feeling Good,My Brightest Diamond
Winning A Battle Losing The W,Kings of Convenience
Aşık Mıyız?,Gece
Bitch,Plastiscines
Auto-Intoxication,Manic Street Preachers
The Future Has Been Here 4 Ever,Manic Street Preachers
Golden Platitudes,Manic Street Preachers
A Billion Balconies Facing the Sun,Manic Street Preachers
14 - New Born,Muse www.Rocksijen.Com
I Remember,Damien Rice
I'm Shakin',Rooney
Don't Be Evil,Manic Street Preachers
The Descent - (Pages 1 & 2),Manic Street Preachers
Some Kind of Nothingness,Manic Street Preachers
I Think I Found It,Manic Street Preachers
Sleeze Sister,The Pretty Reckless
Love Her Madly,The Doors
08 - Feeling Good,Muse www.Rocksijen.Com
Angelica,Anathema
Broken Harp,PJ Harvey
Napoleon On The Bellerophon,Beirut
My Wife Lost In The Wild,Beirut
Dusty Road,Oi Va Voi
A Csitari Hegyek Alatt,Oi Va Voi
Trouble Is a Friend,Lenka
Hazelton Avenue,Manic Street Preachers
Anything I'm Not,Lenka
Skipalong,Lenka
Love of My Life,Scorpions
Wind of Change,Scorpions
Especially in Michigan,Red Hot Chili Peppers
Save the Population,Red Hot Chili Peppers
Road Trippin,Red Hot Chili Peppers
09 - Under The Bridge,Red Hot Chili Peppers
When Love Kills Love,Scorpions
Send Me An Angel,Scorpions
Mayfly,Belle and Sebastian
Touches You,Mika
